,pt_BR,en
como_jogar_tr,Como Jogar,How to play
iniciar_tr,Iniciar,Play
config_tr,Configurações,Settings
sair_tr,Sair,Quit
senha_tr,Senha:,Password:
entrar_tr,Entrar,Log in
criar_conta_tr,Não tem uma conta? Crie uma!,Don't have an account? Create One!
criar_tr,Criar,Create
voltar_tr,Voltar,Return
criar_conta2_tr,Criar conta,Create Account
aperte_enter_tr,Pressione enter para voltar ao menu,Press enter to return to the menu
ativado_tr,<Ativado>,<Enabled>
desativado_tr,<Desativado>,<Unabled>
musica_tr,Música,Music
efeito_sonoro_tr,Efeitos Sonoros,Sound Effects
sp_tr,Selecione o personagem,select the character
navegar_tr,Navegar entre as opções,navigate between options
sele_tr,Selecionar,select
esc_personagem_tr,Escolher Personagem,select character
ativar_desativar_tr,Ativar/Desativar,Enable/Unable
pausado_tr,Jogo pausado,Game Paused
continuar_tr,Continuar,Continue
reiniciar_tr,Reiniciar,Restart
pont_tr,Pontuação,Score
como_jogar_txt_tr,"Use as setas para controlar a nave,espaço para atirar, 'M' para o especial,e ESC para pausar.","Use the arrows to control the spaceship, space to shoot, 'M' for the special, and ESC to pause."
ou_tr,Ou,Or
idioma_tr,Idioma,Language
